2019-04-22 07:44:36,300 INFO     client_info
2019-04-22 07:44:36,300 INFO     ('F0:0F:EC:1F:89:8E', 1)
2019-04-22 07:44:36,302 INFO     slept enough
2019-04-22 07:44:36,303 INFO     Waiting for RFCOMM connection!!!
2019-04-22 07:44:36,622 INFO     Entered threaded client
2019-04-22 07:44:42,741 INFO     Received 1
2019-04-22 07:44:42,742 INFO     motors running forward
2019-04-22 07:44:44,761 INFO     Received stop
2019-04-22 07:44:44,762 INFO     Motors stopping...
2019-04-22 07:44:44,794 INFO     Received 1
2019-04-22 07:44:44,795 INFO     motors running forward
2019-04-22 07:44:45,026 INFO     Received stop
2019-04-22 07:44:45,027 INFO     Motors stopping...
2019-04-22 07:44:46,926 INFO     Received 2
2019-04-22 07:44:46,927 INFO     motors running forward
2019-04-22 07:44:48,795 INFO     Received stop
2019-04-22 07:44:48,796 INFO     Motors stopping...
2019-04-22 07:44:49,880 INFO     Received 4
2019-04-22 07:44:49,883 INFO     motors running forward
2019-04-22 07:44:50,989 INFO     Received stop
2019-04-22 07:44:50,990 INFO     Motors stopping...
2019-04-22 07:44:51,720 INFO     Received 3
2019-04-22 07:44:51,722 INFO     motors running forward
2019-04-22 07:44:52,697 INFO     Received stop
2019-04-22 07:44:52,699 INFO     Motors stopping...
2019-04-22 07:44:53,284 INFO     Received 1
2019-04-22 07:44:53,285 INFO     motors running forward
2019-04-22 07:44:53,550 INFO     Received stop
2019-04-22 07:44:53,551 INFO     Motors stopping...
2019-04-22 07:46:06,525 ERROR    Traceback (most recent call last):
2019-04-22 07:46:06,526 ERROR      File "uus.py", line 285, in <module>
2019-04-22 07:46:06,529 ERROR      File "uus.py", line 182, in main
2019-04-22 07:46:06,531 ERROR    accept_connection(server_sock)
2019-04-22 07:46:06,532 ERROR      File "uus.py", line 277, in accept_connection
2019-04-22 07:46:06,534 ERROR      File "/usr/local/lib/python3.5/dist-packages/bluetooth/bluez.py", line 167, in accept
